order_id,customer_id,order_date,country,channel,amount,status
1,1007,2026-01-01,Spain,Store,713.52,Completed
2,1014,2026-01-02,Italy,Marketplace,637.98,Completed
3,1021,2026-01-03,Germany,Marketplace,378.95,Completed
4,1028,2026-01-04,Portugal,Online,185.91,Cancelled
5,1035,2026-01-05,Italy,Store,216.94,Completed
6,1005,2026-01-06,Netherlands,Store,446.03,Completed
7,1012,2026-01-07,Italy,Marketplace,606.42,Completed
8,1019,2026-01-08,Portugal,Partner,278.41,Completed
9,1026,2026-01-09,Netherlands,Store,382.63,Completed
10,1033,2026-01-10,Spain,Online,277.04,Completed
11,1003,2026-01-11,Netherlands,Partner,179.06,Completed
12,1010,2026-01-12,Italy,Online,303.26,Pending
13,1017,2026-01-13,Spain,Marketplace,142.39,Cancelled
14,1024,2026-01-14,Germany,Partner,292.23,Completed
15,1031,2026-01-15,Netherlands,Marketplace,745.05,Pending
16,1001,2026-01-16,France,Partner,739.98,Completed
17,1008,2026-01-17,France,Partner,432.09,Completed
18,1015,2026-01-18,Netherlands,Online,669.03,Cancelled
19,1022,2026-01-19,Spain,Marketplace,415.80,Cancelled
20,1029,2026-01-20,Spain,Store,457.97,Completed
21,1036,2026-01-21,Netherlands,Partner,398.06,Completed
22,1006,2026-01-22,Portugal,Marketplace,694.46,Pending
23,1013,2026-01-23,Germany,Store,171.04,Cancelled
24,1020,2026-01-24,Portugal,Partner,761.67,Completed
25,1027,2026-01-25,Portugal,Online,277.37,Completed
26,1034,2026-01-26,Italy,Online,569.90,Completed
27,1004,2026-01-27,France,Partner,212.11,Cancelled
28,1011,2026-01-28,Netherlands,Marketplace,653.89,Pending
29,1018,2026-01-29,Netherlands,Partner,217.66,Pending
30,1025,2026-01-30,Netherlands,Store,93.13,Pending
31,1032,2026-01-31,Portugal,Partner,238.54,Cancelled
32,1002,2026-01-01,Spain,Online,694.46,Completed
33,1009,2026-01-02,Germany,Marketplace,311.63,Completed
34,1016,2026-01-03,Spain,Store,337.62,Cancelled
35,1023,2026-01-04,Portugal,Store,732.20,Completed
36,1030,2026-01-05,Portugal,Online,231.06,Cancelled
37,1000,2026-01-06,Spain,Partner,452.56,Completed
38,1007,2026-01-07,Italy,Partner,397.92,Completed
39,1014,2026-01-08,Italy,Marketplace,566.35,Cancelled
40,1021,2026-01-09,Spain,Store,255.40,Pending
41,1028,2026-01-10,Italy,Store,528.52,Cancelled
42,1035,2026-01-11,Spain,Marketplace,574.80,Completed
43,1005,2026-01-12,Netherlands,Online,517.82,Completed
44,1012,2026-01-13,Spain,Marketplace,796.46,Completed
45,1019,2026-01-14,Germany,Partner,384.26,Completed
46,1026,2026-01-15,Italy,Online,858.15,Completed
47,1033,2026-01-16,Germany,Marketplace,216.54,Completed
48,1003,2026-01-17,Germany,Online,541.84,Pending
49,1010,2026-01-18,Netherlands,Partner,119.95,Completed
50,1017,2026-01-19,France,Partner,116.01,Completed
51,1024,2026-01-20,Italy,Store,505.45,Completed
52,1031,2026-01-21,Spain,Marketplace,356.67,Cancelled
53,1001,2026-01-22,Portugal,Online,752.93,Completed
54,1008,2026-01-23,Italy,Marketplace,111.32,Completed
55,1015,2026-01-24,Portugal,Store,411.16,Pending
56,1022,2026-01-25,France,Online,632.91,Completed
57,1029,2026-01-26,Germany,Store,403.40,Completed
58,1036,2026-01-27,Spain,Partner,189.27,Cancelled
59,1006,2026-01-28,Italy,Partner,505.23,Completed
60,1013,2026-01-29,Germany,Marketplace,751.64,Completed
61,1020,2026-01-30,France,Online,93.44,Cancelled
62,1027,2026-01-31,France,Partner,1059.15,Completed
63,1034,2026-01-01,Portugal,Online,479.36,Completed
64,1004,2026-01-02,Netherlands,Marketplace,167.08,Pending
65,1011,2026-01-03,Netherlands,Online,882.76,Completed
66,1018,2026-01-04,Italy,Online,672.38,Completed
67,1025,2026-01-05,Spain,Partner,250.51,Completed
